Vivado Simulator 2015.4
Time resolution is 1 ps
                   0     x xxxxxxxx xxxxxxxx xxxxxxxx x x x
                   5     x xxxxxxxx xxxxxxxx xxxxxxxx x x 0
                  15     X xxxxxxxx 00000101 xxxxxxxx 1 x 0
                  25     5 00000000 00000101 11111010 1 0 0
                  35     2 00000000 00000010 11111010 0 1 0
                  45  1538 00000110 00000010 11111010 0 1 0
                  55   769 00000011 00000001 11111010 1 0 0
                  65 64769 11111101 00000001 11111010 1 0 0
                  75 65152 11111110 10000000 11111010 0 1 0
                  85  1152 00000100 10000000 11111010 0 1 0
                  95   576 00000010 01000000 11111010 0 0 0
                 105 64576 11111100 01000000 11111010 0 0 0
                 115 65056 11111110 00100000 11111010 0 0 0
                 125 65296 11111111 00010000 11111010 0 0 0
                 135 65416 11111111 10001000 11111010 0 0 0
                 145 65476 11111111 11000100 11111010 0 0 0
                 155 65506 11111111 11100010 11111010 0 0 1
